Cruise,Event_Key,yyyy-mm-ddThh:mm:ss.sss,Station,Cast,Niskin,SampleID,Longitude,Latitude,Depth in Water Column (m),Pressure in Water Column (dbar),Conductivity ,Salinity,Temperature,Oxygen (pre-correction),Oxygen,Chl a Fluorescence,Chl Fluorescence ,CTD.CDOMFluor.V,CDOM Fluorecence,Transmissometry,CTD.Transmissometry.V,CTD.Altimeter,Total_Nitrogen,Total_Nitrogen.Flag,Nitrate,Nitrate.Flag,Nitrite,Nitrite.Flag,Ammonium,Ammonium.Flag,Phosphate,Phosphate.Flag,Silicate,Silicate.Flag
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,1,21-001281,167.71417,73.77052,37.276,37.669,23.960423,29.7166,-1.4605,269.015,281.4385512,3.8525,0.6458,0.1204,0.1204,0.7867,0.0508,0,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,2,21-001281,167.7142,73.77052,37.301,37.694,23.958114,29.7123,-1.4594,269.237,281.6546211,3.8511,0.6184,0.1197,0.1197,0.7881,0.0497,0,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,3,21-001281,167.71422,73.77052,37.366,37.76,23.958846,29.7141,-1.4603,269.564,281.9728863,3.8314,0.6022,0.1211,0.1211,0.8087,0.0491,0,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,4,21-001281,167.71424,73.77052,37.309,37.702,23.964737,29.7243,-1.4624,269.523,281.9329815,3.8521,0.7249,0.1211,0.1211,0.7871,0.054,0,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,5,21-001281,167.71428,73.77052,37.28,37.673,23.96424,29.7237,-1.4625,269.181,281.600117,3.8526,0.6141,0.1202,0.1202,0.7865,0.0496,0,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,6,21-001281,167.71429,73.77052,37.244,37.636,23.963712,29.7231,-1.4626,268.763,281.1932826,3.8578,0.7081,0.1215,0.1215,0.7811,0.0533,0,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,7,21-001282,167.71464,73.7705,29.828,30.142,23.498305,29.0272,-1.3928,324.685,335.6214941,4.6002,0.1226,0.1166,0.1166,0.0765,0.0299,0.84,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,8,21-001282,167.71466,73.7705,29.781,30.094,23.495942,29.0216,-1.3902,324.12,335.0715864,4.6048,0.1039,0.1156,0.1156,0.0725,0.0292,0.77,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,9,21-001282,167.71466,73.7705,29.799,30.113,23.494118,29.0192,-1.3903,322.428,333.4247831,4.6019,0.1257,0.1172,0.1172,0.075,0.03,0.69,,,,,,,,,,,,
NABOS2025,01K51M1NM022DH71JR4J73J832,2025-09-13 06:06:01 ,1,1,10,21-001282,167.71468,73.7705,29.809,30.122,23.49268,29.0164,-1.3895,323.995,334.9499254,4.618,0.1101,0.1169,0.1169,0.061,0.0294,0.78,,,,,,,,,,,,
